item_code,name,description,unit,quantity,location,min_level,reorder_qty,category,active
Gearbox VF44 FA2 10 HSB3,Gearbox VF44,VF44 FA2 10 HSB3,Nos,4,,0,0,TRANSMISSION,1
Gearbox W63,Gearbox W63,W63 HSB3 i 45,Nos,1,,0,0,TRANSMISSION,1
Gearbox W75,Gearbox W75,W75 HS B3 I 45,Nos,1,,0,0,TRANSMISSION,1
Grub Screw M4x5,Grub Screw,M4x5,Nos,0,,0,0,HARDWARE,1
Grub Screw M8x10,Grub Screw,M8x10,Nos,0,,0,0,HARDWARE,1
HGR 25R 700H HIWIN E= 20 X 20,Guided Rail,UTM SSB GUIDE RAIL,Nos,3,,0,0,TRANSMISSION,1
HEAT SINK G-68,Heat Sink ( UNISON),HEAT SINK G-68,Nos,15,,0,0,ELECTRICAL,1
AC 230V 50HZ HEATER MFI,Heater,AC 230V 50HZ HEATER MFI,Nos,4,,0,0,ELECTRICAL,1
"Hex Bolt, Nut & Washer M10x65","Hex Bolt, Nut & Washer",M10x65,Nos,0,,0,0,HARDWARE,1
"Hex Bolt, Nut & Washer M8x65","Hex Bolt, Nut & Washer",M8x65,Nos,0,,0,0,HARDWARE,1
HMI YS2070WE,HMI 7'' Touch Screen | Make : Yasaka,YS2070WE,Nos,12,,0,0,TRANSMISSION,1
DV0P4344-2M-A,I/O CABLE FOR FLEXEM SERVO 2M LENGTH,DV0P4344-2M,Nos,1,,0,0,Others,1
FV3S TO FV5 SERIES(1kw to 5.5kw),I/O CABLE FOR FLEXEM SERVO 5M LENGTH FOR ENCODER CABLE,FV3S TO FV5 SERIES(1kw to 5.5kw),Nos,7,,0,0,ELECTRICAL,1
FV3S SERIES(1kw to 1.8kw),I/O CABLE FOR FLEXEM SERVO 5M LENGTH FOR POWER CABLE,FV3S SERIES(1kw to 1.8kw),Nos,4,,0,0,Others,1
SLIDER -UTM 50KN -5 KN,IDDLER,SLIDER,Nos,6,,0,0,Others,1
UTM 100KN IDLER PULLY,IDDLER PULLY 60 X60 -42 BEARING SIZE,IDDLER PULLY,Nos,8,,0,0,METAL,1
IDLER Bolt M20-100KN,IDDLER PULLY HOLDING Bolt M20,IDDLER PULLY Bolt,Nos,8,,0,0,Others,1
IDLER Bolt M12-UTM 50KN -5KN,IDLER Bolt M12,IDLER 50KN,Nos,13,,0,0,Others,1
